Site Name,Site Address,Town,State,Postcode,24 Hours,98 Octane,Diesel,LPG,E10,Shell Low Aromatic,95 Octane,98 Octane,Premium Diesel,Diesel E10,Adblue At the  Pump,"Adblue 
10L",Truckstop,Carwash,Toilets,Latitude,Longitude
COLES EXPRESS BULAHDELAH,PACIFIC HWY,BULAHDELAH,NSW,2423,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,-32.44689321,152.2093414
COLES EXPRESS BULLI,279-287 PRINCES HIGHWAY,BULLI,NSW,2516,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-34.33690114,150.91179
COLES EXPRESS BURNS BAY LANE COVE,CNR PENROSE ST & BURNS BAY RD,LANE COVE,NSW,2066,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.81684623,151.1515799
COLES EXPRESS BURONGA,29-39 STURT HIGHWAY,BURONGA,NSW,2739,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,-34.17129962,142.1864551
COLES EXPRESS CABRAMATTA WEST,CNR CUMBERLAND HWY & JOHN ST,CABRAMATTA,NSW,2166,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.89317631,150.9225188
COLES EXPRESS CAMDEN,274 OLD HUME HIGHWAY,CAMDEN,NSW,2570,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,-34.08605374,150.6955664
COLES EXPRESS CAMMERAY,CNR MILLER ST & PALMER ST,CAMMERAY,NSW,2062,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.82111079,151.2106168
COLES EXPRESS CAMPBELLTOWN,27 QUEEN STREET,CAMPBELLTOWN,NSW,2560,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-34.06028096,150.8196687
COLES EXPRESS CAPTAIN COOK BRIDGE,100 TAREN POINT ROAD,TAREN POINT,NSW,2229,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,-34.02006565,151.1218418
COLES EXPRESS CARLINGFORD WEST,288 PENNANT HILLS RD,CARLINGFORD,NSW,2118,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,-33.78493953,151.0435921
COLES EXPRESS CARLTON (NSW),267-281 PRINCES HIGHWAY,CARLTON,NSW,2218,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.97518528,151.1272787
COLES EXPRESS CASINO,CENTRE ST & RICHMOND ST,CASINO,NSW,2470,N,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,-28.86662955,153.045189
COLES EXPRESS CHARLESTOWN,128 PACIFIC HWY,CHARLESTOWN,NSW,2290,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-32.96534986,151.695437
COLES EXPRESS CHATSWOOD,877-879 PACIFIC HWY,CHATSWOOD,NSW,2067,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.79231413,151.1803107
COLES EXPRESS CLARENDON,244 RICHMOND ROAD,CLARENDON,NSW,2756,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.60845752,150.7903127
COLES EXPRESS COFFS HARBOUR,CNR MARCIA ST & PACIFIC HWY,COFFS HARBOUR,NSW,2450,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-30.28994894,153.121064
COLES EXPRESS COLYTON,88-90 GREAT WESTERN HIGHWAY,COLYTON,NSW,2760,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.77541373,150.7953049
COLES EXPRESS COONABARABRAN,2-6 JOHN ST,COONABARABRAN,NSW,2357,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,-31.27656267,149.2784577
COLES EXPRESS CORRIMAL,269-275 PRINCES HIGHWAY,CORRIMAL,NSW,2518,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-34.37527365,150.8962667
COLES EXPRESS CREMORNE,227 MILITARY RD,CREMORNE,NSW,2090,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.83057322,151.2260993
COLES EXPRESS DAPTO,152-1588 PRINCES HWY,DAPTO,NSW,2530,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-34.50171927,150.789388
COLES EXPRESS DARLINGHURST,47 FLINDERS STREET,DARLINGHURST,NSW,2010,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.88248766,151.2172792
COLES EXPRESS DENILIQUIN NORTH,336 VICTORIA STREET,DENILIQUIN,NSW,2710,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,-35.52364689,144.9806486
COLES EXPRESS DOONSIDE,427 BUNGARRIBEE RD,DOONSIDE,NSW,2767,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,-33.77306224,150.8760926
COLES EXPRESS DRUMMOYNE NORTH,36-46 VICTORIA RD,DRUMMOYNE,NSW,2047,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.85549459,151.1593374
COLES EXPRESS DRUMMOYNE SOUTH,35- 51 VICTORIA RD,DRUMMOYNE,NSW,2047,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.85219262,151.155688
COLES EXPRESS DUBBO,131-133 COBRA ST (CNR FITZROY ST),DUBBO,NSW,2830,N,Y,Y,N,Y,N,N,Y,N,N,N,Y,N,N,Y,-32.25126042,148.6132618
COLES EXPRESS DUNDAS,199-203 KISSING POINT RD (CNR KIRBY ST),DUNDAS,NSW,2117,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.79910021,151.0453524
COLES EXPRESS DURAL,592-596 OLD NORTHERN ROAD,DURAL,NSW,2158,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,-33.69428636,151.0312659
COLES EXPRESS EASTERN CREEK,611 GREAT WESTERN HIGHWAY,EASTERN CREEK,NSW,2766,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,-33.79273607,150.8706297
COLES EXPRESS ENFIELD,CNR HUME HWY & BRAIDWOOD STREET,ENFIELD,NSW,2136,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,-33.8864248,151.0707647
COLES EXPRESS ERINA,CNR THE ENTRANCE & BONNELL RDS,ERINA,NSW,2250,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.43565866,151.3851764
COLES EXPRESS FAIRFIELD (NSW),CNR POLDING ST & THE HORSLEY DVE,FAIRFIELD,NSW,2165,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.8643809,150.9546019
COLES EXPRESS FAULCONBRIDGE,575- 581 GREAT WESTERN HWY,FAULCONBRIDGE,NSW,2776,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,-33.69413999,150.5373465
COLES EXPRESS FIVE DOCK,CNR PARRAMATTA RD & WALKER ST,FIVE DOCK,NSW,2046,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,-33.86986069,151.1133607
COLES EXPRESS FORESTVILLE,CNR WARRINGAH RD & COOK ST,FORESTVILLE,NSW,2087,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.75981043,151.2186336
COLES EXPRESS FORSTER,2 LAKES WAY,FORSTER,NSW,2428,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-32.19456387,152.5142473
COLES EXPRESS GILGANDRA,CNR NEWELL HWY & TOORAWEENAH RD,GILGANDRA,NSW,2827,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,-31.71088927,148.6694694
COLES EXPRESS GLENDALE,593 MAIN ROAD,GLENDALE,NSW,2285,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,Y,-32.92705396,151.6375665
COLES EXPRESS GOROKAN,CNR WALLARAH & EDITH STS,GOROKAN,NSW,2263,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.25656365,151.5080101
COLES EXPRESS GOULBURN,CNR CLINTON & COWPER ST,GOULBURN,NSW,2580,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,-34.75555102,149.7114702
COLES EXPRESS GRAFTON,CNR BENT & SPRINGS STS,GRAFTON,NSW,2460,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,-29.70578059,152.9397901
COLES EXPRESS GREEN VALLEY,CNR COWPASTURE RD & GREEN VALLEY,GREEN VALLEY,NSW,2168,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.90034256,150.855588
COLES EXPRESS GRETA,122 HIGH ST (CNR WEST ST),GRETA,NSW,2334,Y,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,N,N,-32.67574247,151.387376
COLES EXPRESS GREYSTANES,CNR MERRYLANDS ROAD & BRAESIDE ST,GREYSTANES,NSW,2145,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.82966917,150.9530104
COLES EXPRESS GRIFFITH,121 BANNA AVE,GRIFFITH,NSW,2680,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,-34.28850309,146.051104
COLES EXPRESS GUNDAGAI,CNR MOUNT & MIDDLE STS,GUNDAGAI,NSW,2722,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,-35.0820494,148.0953916
COLES EXPRESS HALFWAY CREEK,4974 PACIFIC HIGHWAY (CNR LEMON TREE RD),HALFWAY CREEK,NSW,2460,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,-29.93489411,153.0942179
COLES EXPRESS HASTINGS POINT,COAST RD,HASTINGS POINT,NSW,2489,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,-28.36268597,153.5762081
COLES EXPRESS HEATHCOTE,CNR PRINCESS HWY & OLIVER RD,HEATHCOTE,NSW,2233,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-34.0878196,151.0075024
COLES EXPRESS HEXHAM,21 MAITLAND ROAD,HEXHAM,NSW,2322,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,-32.84806961,151.694455
COLES EXPRESS HORNSBY,196-200 PACIFIC HWY,HORNSBY,NSW,2077,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,Y,-33.70467153,151.0988123
COLES EXPRESS HOXTON PARK,CNR COWPASTURE & HOXTON PARK ROADS,Hoxton Park,NSW,2171,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,-33.92462427,150.8485003
COLES EXPRESS HUNTERS HILL,4 RYDE RD,HUNTERS HILL,NSW,2110,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.83182428,151.1416733
COLES EXPRESS HURSTVILLE,396 FOREST ROAD,HURSTVILLE,NSW,2220,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.96483669,151.0990543
COLES EXPRESS JAMISONTOWN,MULGOA ROAD & WOLSELEY ROAD,JAMISONTOWN,NSW,2750,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-33.7711676,150.6731895
COLES EXPRESS KARIONG,6-8 PACIFIC HWY,KARIONG,NSW,2250,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,-33.43470355,151.2967587
COLES EXPRESS KEMPSEY,165 SMITH ST (CNR COCHRANE ST),KEMPSEY,NSW,2440,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,Y,-31.08199825,152.8350001
