IIT_NE_ID,IIT_INV_TYPE,IIT_PRIMARY_KEY,IIT_ADMIN_UNIT,PLGR_ASSET_ID,PLGR_PARENT_ID,PLGR_NAME,PLGR_TYPE,CONTRACT_UNIT,PLGR_LOCATION,PLGR_UPGRADE
2589109,PLGR,PLGR348,18,PLGR348,UOS8814,,,FARRER,HAGELTHORN STREET - NEIGHBOURHOOD PARK,
2589111,PLGR,PLGR349,18,PLGR349,UOS8829,,,FARRER,WAGGA STREET - NEIGHBOURHOOD PARK,
2589115,PLGR,PLGR350,18,PLGR350,UOS8705,,,FARRER,MOODIE STREET - NEIGHBOURHOOD PARK,
2589116,PLGR,PLGR351,18,PLGR351,UOS8696,,,FARRER,GATTON STREET - NEIGHBOURHOOD PARK,
2589117,PLGR,PLGR352,18,PLGR352,UOS7052,,,DUFFY,KALLARA CLOSE - NEIGHBOURHOOD PARK,
2589118,PLGR,PLGR353,18,PLGR353,UOS7099,,,DUFFY,MIRROOL STREET - NEIGHBOURHOOD PARK,
2589119,PLGR,PLGR354,18,PLGR354,UOS6868,,,DUFFY,GLENMAGGIE STREET - PEDESTRIAN PARKLAND,
2589120,PLGR,PLGR355,18,PLGR355,UOS6726,,,DUFFY,CARGELLIGO STREET - PEDESTRIAN PARKLAND,
2589122,PLGR,PLGR356,18,PLGR356,UOS6605,,,DUFFY,ROCKLANDS STREET - NEIGHBOURHOOD PARK,
2589126,PLGR,PLGR358,18,PLGR358,UOS6908,,,HOLDER,PEARSON STREET - NEIGHBOURHOOD PARK,
2589128,PLGR,PLGR359,18,PLGR359,UOS6696,,,HOLDER,CALDER CRESCENT - NEIGHBOURHOOD PARK,
2589130,PLGR,PLGR360,18,PLGR360,UOS6735,,,HOLDER,DE GRAAFF STREET - NEIGHBOURHOOD PARK,
2589134,PLGR,PLGR361,18,PLGR361,UOS7814,,,CHAPMAN,ORDELL STREET - PEDESTRIAN PARKLAND,
2589136,PLGR,PLGR362,18,PLGR362,UOS8138,,,CHAPMAN,PERRY DRIVE - NEIGHBOURHOOD PARK,
2589139,PLGR,PLGR363,18,PLGR363,UOS8073,,,CHAPMAN,TAUCHERT STREET - NEIGHBOURHOOD PARK,
2589140,PLGR,PLGR364,18,PLGR364,UOS8296,,,CHAPMAN,BERTEL CRESCENT - NEIGHBOURHOOD PARK,
2589145,PLGR,PLGR365,18,PLGR365,UOS6640,,,CURTIN,MACALISTER CRESCENT - PEDESTRIAN PARKLAND,
2589146,PLGR,PLGR366,18,PLGR366,UOS6651,,,CURTIN,DAGLISH STREET - NEIGHBOURHOOD PARK,
2589147,PLGR,PLGR367,18,PLGR367,UOS6447,,,CURTIN,PHILP PLACE - NEIGHBOURHOOD PARK,
2589148,PLGR,PLGR368,18,PLGR368,UOS6399,,,CURTIN,CARRUTHERS STREET - PEDESTRIAN PARKLAND,
2589149,PLGR,PLGR369,18,PLGR369,UOS6355,,,CURTIN,MORGAN PLACE - NEIGHBOURHOOD PARK,
2589151,PLGR,PLGR370,18,PLGR370,UOS6349,,,CURTIN,FARNELL PLACE - NEIGHBOURHOOD PARK,
2589153,PLGR,PLGR371,18,PLGR371,UOS6325,,,CURTIN,STOREY STREET - PEDESTRIAN PARKLAND,
2589154,PLGR,PLGR372,18,PLGR372,UOS7736,,,CHIFLEY,SHANN PLACE - NEIGHBOURHOOD PARK,
2589157,PLGR,PLGR373,18,PLGR373,UOS8008,,,CHIFLEY,CHARTERIS CRESCENT - NEIGHBOURHOOD PARK,
2589158,PLGR,PLGR374,18,PLGR374,UOS7317,,,LYONS,RISDON PLACE - PEDESTRIAN PARKLAND,
2589159,PLGR,PLGR375,18,PLGR375,UOS7080,,,LYONS,TOOMS PLACE - PEDESTRIAN PARKLAND,
2589160,PLGR,PLGR376,18,PLGR376,UOS6918,,,LYONS,DEVONPORT STREET - NEIGHBOURHOOD PARK,
2589161,PLGR,PLGR377,18,PLGR377,UOS7462,,,LYONS,PILLAR PLACE - PEDESTRIAN PARKLAND,
2589162,PLGR,PLGR378,18,PLGR378,UOS7569,,,PHILLIP,TANK STREET - ROAD MEDIAN,
2589164,PLGR,PLGR379,18,PLGR379,UOS7808,,,PHILLIP,ROWE PLACE - NEIGHBOURHOOD PARK,
2589167,PLGR,PLGR381,18,PLGR381,UOS7089,,,PHILLIP,EDISON DISTRICT PARK,
2589170,PLGR,PLGR382,18,PLGR382,UOS7765,,,STIRLING,BARLEE PLACE - NEIGHBOURHOOD PARK,
2589171,PLGR,PLGR383,18,PLGR383,UOS7487,,,STIRLING,BUNBURY STREET - NEIGHBOURHOOD PARK,
2589173,PLGR,PLGR385,18,PLGR385,UOS7257,,,RIVETT,SANTALUM STREET - PEDESTRIAN PARKLAND,
2589178,PLGR,PLGR386,18,PLGR386,UOS7763,,,RIVETT,YATE GARDENS - NEIGHBOURHOOD PARK,
2589180,PLGR,PLGR387,18,PLGR387,UOS7528,,,RIVETT,SOLLYA PLACE - PEDESTRIAN PARKLAND,
2589184,PLGR,PLGR389,18,PLGR389,UOS7528,,,RIVETT,SOLLYA PLACE - PEDESTRIAN PARKLAND,
2589186,PLGR,PLGR390,18,PLGR390,UOS7698,,,WARAMANGA,MALARA STREET - NEIGHBOURHOOD PARK,
2589188,PLGR,PLGR392,18,PLGR392,UOS7949,,,WARAMANGA,WARRAI PLACE - PEDESTRIAN PARKLAND,
2589190,PLGR,PLGR394,18,PLGR394,UOS7159,,,WESTON,WHITNEY PLACE - PEDESTRIAN PARKLAND,
2589191,PLGR,PLGR395,18,PLGR395,UOS6719,,,WESTON,GRUNER STREET - NEIGHBOURHOOD PARK,
2589194,PLGR,PLGR396,18,PLGR396,UOS6991,,,WESTON,FRY PLACE - NEIGHBOURHOOD PARK,
2589197,PLGR,PLGR397,18,PLGR397,UOS8672,,,TORRENS,PARSONS STREET - PEDESTRIAN PARKLAND,
2589198,PLGR,PLGR398,18,PLGR398,UOS8677,,,TORRENS,TORRENS PLACE - PEDESTRIAN PARKLAND,
2589201,PLGR,PLGR399,18,PLGR399,UOS8574,,,TORRENS,HORROCKS STREET - NEIGHBOURHOOD PARK,
2589202,PLGR,PLGR4,18,PLGR4,UOS13511,,,AINSLIE,AGNEW STREET,
2589206,PLGR,PLGR40,18,PLGR40,UOS11234,,,CHISHOLM,ALSTON STREET - NEIGHBOURHOOD PARK,
2589207,PLGR,PLGR400,18,PLGR400,UOS8526,,,PEARCE,WHITHAM PLACE - PEDESTRIAN PARKLAND,
2589208,PLGR,PLGR401,18,PLGR401,UOS8363,,,PEARCE,MACFARLAND CRESCENT - NEIGHBOURHOOD PARK,
2589209,PLGR,PLGR402,18,PLGR402,UOS8326,,,PEARCE,KEMSLEY PLACE - NEIGHBOURHOOD PARK,
2589211,PLGR,PLGR403,18,PLGR403,UOS8261,,,"O""MALLEY",COBBADAH STREET - PEDESTRIAN PARKLAND,
2589213,PLGR,PLGR404,18,PLGR404,UOS8075,,,"O""MALLEY",CULGOA CIRCUIT - NEIGHBOURHOOD PARK,
2589215,PLGR,PLGR405,18,PLGR405,UOS8586,,,MAWSON,WILKINS STREET - NEIGHBOURHOOD PARK,
2589217,PLGR,PLGR406,18,PLGR406,UOS8241,,,MAWSON,DU FAUR PLACE - PEDESTRIAN PARKLAND,
2589218,PLGR,PLGR407,18,PLGR407,UOS8349,,,MAWSON,LASERON PLACE - NEIGHBOURHOOD PARK,
2589219,PLGR,PLGR408,18,PLGR408,UOS8152,,,MAWSON,AURORA CLOSE - PEDESTRIAN PARKLAND,
2589221,PLGR,PLGR409,18,PLGR409,UOS8358,,,FISHER,HAMERSLEY PLACE - NEIGHBOURHOOD PARK,
